business_id,name,city,state,categories,stars,review_count
NZ_bFJma7brQUfln5h1UAg,Super Sushi Kyo Hin,Burlington,NJ,"Restaurants, Japanese, Sushi Bars, Asian Fusion",3.5,6
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,Santa Barbara,CA,"Food, Restaurants, Salad, Coffee & Tea, Breakfast & Brunch, Sandwiches, Bakeries",4.0,389
YNjyv0gfOr2g8lbmUpTnKg,Copper Vine,New Orleans,LA,"Nightlife, Pubs, Event Planning & Services, Wine Bars, Bars, Gastropubs, Restaurants, Venues & Event Spaces",4.5,350
LhpPSrulqVeTyJeK2xydvQ,Fresh Fruits & Salads,Camden,NJ,"Juice Bars & Smoothies, Restaurants, Fruits & Veggies, Salad, Specialty Food, Food",4.5,6
oaboaRBUgGjbo2kfUIKDLQ,Mike's Ice Cream,Nashville,TN,"Ice Cream & Frozen Yogurt, Coffee & Tea, Restaurants, Sandwiches, Food",4.5,593
RK6-cJ9hj53RzOlCBmpT-g,Impasto,Tampa,FL,"Restaurants, Italian, Food Trucks, Food",5.0,5
knQ4vIgx-r85kjlWVVjcpQ,Silver and Blue Outfitters,Reno,NV,"Sporting Goods, Sports Wear, Fashion, Restaurants, Fast Food, Sandwiches, Shopping",4.5,5
1MeIwdbTnZOBFCKOrgaxuw,Ricardo's Italian Cafe,Saint Louis,MO,"American (New), Restaurants, Cafes, Italian, American (Traditional)",3.5,80
EuRGgOwJ0g1vTj2R04j37Q,Crafty Crab,Fairview Heights,IL,"Seafood, Restaurants",2.5,14
TLZ3-eDPLhUzfsWO4ad6Ug,Mahony's Po-Boys & Seafood,New Orleans,LA,"Restaurants, Seafood, Cajun/Creole",4.0,382
Dy91wdWkwtI_qgjAIZ0Niw,Taqueria Los Primos,Wilmington,DE,"Mexican, Restaurants",4.0,23
vje0KIiE7vtpx7JzmBx5LQ,The Pearl,Treasure Island,FL,"Restaurants, French, Moroccan, Seafood, Mediterranean",4.0,129
VrGxoSNZfSiT-G4OqRRGIw,Sunset 44 Bistro,Saint Louis,MO,"Bars, Lounges, American (New), Restaurants, Nightlife, Wine Bars",4.0,73
VZzivJEbmHItOxNXJB3SpA,Subway,Brentwood,TN,"Sandwiches, Fast Food, Restaurants",2.5,14
anLQj9AM8vjbcLSIE0iUgg,Papa Murphy's,Tucson,AZ,"Pizza, Restaurants",4.0,22
Cdytv_YhJO0W0Ab8t2xLtg,Nipper's Pub,Woodbury,NJ,"Nightlife, Chicken Wings, Pubs, Bars, American (Traditional), Restaurants",3.5,29
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,Philadelphia,PA,"Restaurants, Chinese",3.0,137
FRYkg_JvsWU9xIXZsEZcVA,Altamura,New Orleans,LA,"Cocktail Bars, Italian, Nightlife, Seafood, Bars, Restaurants",3.5,27
9C2rpb56aQvW0ViZHK9sPw,Home Plate Sports Pub,Tucson,AZ,"Bars, Restaurants, Sports Bars, Nightlife",3.5,56
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,Santa Barbara,CA,"Live/Raw Food, Restaurants, Seafood, Beer Bar, Beer, Wine & Spirits, Bars, Food, Nightlife",4.0,2404
Lx8ZYUJ_-3Aa8N821mN1WQ,ALM Kainan,Sparks,NV,"Restaurants, Filipino",4.0,13
WYYdQDjx-DsCanlP0DpImQ,J Sushi,Philadelphia,PA,"Seafood, Restaurants, Sushi Bars, Japanese",4.5,72
aNtKyc2rr-uK5cqzY9TVQQ,Chipotle Mexican Grill,Largo,FL,"Mexican, Fast Food, Restaurants",3.0,19
X_E7U2lVNEwbH_gpOBmAHQ,Cerveza Jack's,Nashville,TN,"Nightlife, Restaurants, Bars, Mexican",4.0,182
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,Nashville,TN,"Burgers, Restaurants, Fast Food",1.5,37
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,Madison,TN,"Restaurants, Barbeque",3.5,40
Ms5xG8i4p80KSMcF3tt4ug,Sal DeForte's Ristorante,Ewing,NJ,"Italian, Restaurants",4.0,52
ORL4JE6tz3rJxVqkdKfegA,Gaylord Opryland Resort & Convention Center,Nashville,TN,"Venues & Event Spaces, Performing Arts, Arts & Entertainment, Hotels & Travel, Food, Convenience Stores, American (New), Beauty & Spas, Restaurants, Museums, Event Planning & Services, Hotels, Cinema, Resorts, Day Spas",3.0,1639
P10BsKUeoeCeVoK4BS2u0w,Trust Me BBQ,Riverview,FL,"Restaurants, Barbeque",4.0,29
7Du9oW73YcYFmXdtU5aiSg,Kinjo's Japanese Restaurant,Saint Petersburg,FL,"Japanese, Sushi Bars, Restaurants",3.5,17
QjV4v7q_pt7tt3K1US7IHg,PDQ Temple Terrace,Tampa,FL,"Fast Food, Sandwiches, Chicken Shop, Restaurants",3.0,5
LGqiubTmpJ-A1L5n7dmc6g,Domino's Pizza,Harvey,LA,"Restaurants, Sandwiches, Pizza, Chicken Wings",1.5,14
59jkCUm4yHciKL1KW_1HJA,Roma Pizza & Italian Eatery,Warrington,PA,"Pizza, Restaurants",2.5,25
yM8LlTInbQH4FwWC97lz6w,McDonald's,St. Louis,MO,"Fast Food, Restaurants, Food, Burgers, Coffee & Tea",1.5,100
CtMEJxpVMlNzFpB4PtFjfA,Aussie Grill,Lutz,FL,"Restaurants, American (New), Burgers, Fast Food, Steakhouses",4.0,75
O1oZpbZNDMH_gz8DhsZCdA,Wendy's,Philadelphia,PA,"Burgers, Restaurants, Fast Food",1.5,15
vPcfJ3rm3NpdqVDod2WxLA,China Pearl,Langhorne,PA,"Japanese, Chinese, Restaurants, Thai",1.5,27
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,King of Prussia,PA,"Restaurants, Bakeries, Caterers, Bagels, Food, Event Planning & Services",3.5,60
IYlUaKC9nICjiWdk-ShPlg,Bub's Cafe,Carmel,IN,"Restaurants, Breakfast & Brunch",4.0,175
tSFXJ0GFl5iUdy021YgWLw,The Mad Griddle ,Indianapolis,IN,"Arts & Entertainment, Nightlife, Jazz & Blues, Restaurants, Pizza, Southern",5.0,7
ZU6NodDOWaabGkeNpOWdXw,530 Pub & Grill,Clearwater,FL,"American (Traditional), Restaurants, Burgers, Wraps, Sandwiches, Bars, Nightlife, Beer Bar",4.5,6
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,Indianapolis,IN,"Steakhouses, Restaurants, Sushi Bars, Japanese",4.0,246
8c0r7olQSYGcws0bTd3ikw,Zesty Tsunami,New Port Richey,FL,"Hawaiian, Food, Food Trucks, Street Vendors, Restaurants",4.0,5
Ucl9Vo5lwrUmYbV8Dv8X5g,O'Briens Irish Pub,Tampa,FL,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",4.0,108
6BF3eaIzHtoNHSxKTFnTyg,Mister B's Cigar Box,Avon,IN,"Bars, Lounges, Nightlife, Pizza, Restaurants, Shopping, Tobacco Shops, Hookah Bars",3.5,13
wjyUxHxkrvUvCOVqy4g_wg,Oscar's Cafe,Normandy,MO,"Restaurants, American (Traditional)",4.0,11
4IcB3QyMEA85UTWFKh9O9A,Eat Mah Taco @ Pal's Lounge,New Orleans,LA,"American (New), Food, Bars, Nightlife, Lounges, Restaurants",4.5,8
Y6heWJJ9AmEL58fZwgi9YQ,Rosati's Pizza,Tucson,AZ,"Sports Bars, Bars, Nightlife, Italian, Restaurants, Pizza",4.0,58
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,Philadelphia,PA,"Restaurants, Breakfast & Brunch, Vegan, Bagels, Food, Coffee & Tea",4.5,183
xbRbvXSAVZBEwaUUn3mzbg,Lee Roy Selmon's,Tampa,FL,"Salad, Restaurants, Burgers, Soul Food",3.5,42
uDQgmudYDKiB6n4vwbEeDg,Chrysalis,Franklin,TN,"Restaurants, Italian, Nightlife, Bars, Cocktail Bars, Tapas/Small Plates",4.5,112
v5kwdvmg-J8g-ll0nkc3Sw,The Libertine Liquor Bar,Indianapolis,IN,"Restaurants, Lounges, Bars, American (New), Nightlife",4.0,208
bqmX882_6AxVA_uHEQ70sQ,Shanghai Station,Philadelphia,PA,"Shanghainese, Restaurants, Sushi Bars, Szechuan, Sports Bars, Lounges, Asian Fusion, Thai, Karaoke, Chinese, Nightlife, Bars",4.0,46
Edg22x3CZkIv0GUib2oEFA,Mellow Mushroom,New Orleans,LA,"Pizza, Restaurants, Bars, Nightlife, Sandwiches",3.5,149
VVvUBlc_WIEb8obKGq39dA,Four Green Fields,Tampa,FL,"Irish Pub, Bars, Restaurants, Irish, Nightlife",4.5,39
py5aKmlTB2NarfsfcOpHOQ,Cafe Con Leche,Tampa,FL,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food",2.5,55
wZhGuW7vQpfhxeEvLHkTrA,Express Cafe,Meridian,ID,"Restaurants, Breakfast & Brunch",4.5,119
YR0nwxBOKk6DiLHNItfsBQ,Boston Pizza,St Albert,AB,"Italian, Chicken Wings, Pizza, Restaurants",3.5,14
n8ecak12IF_jhnPNs37AZA,Baltic Bakery,Philadelphia,PA,"Food, Bakeries, Restaurants",4.5,12
jcL_qaGJiappzpnn-ifSoA,Fat Jakks,Edmonton,AB,"Chinese, Restaurants, Filipino",4.0,8
_T0cPZE2ZJOTTlYYKMP64Q,Brown Sugar Bakery & Cafe,Philadelphia,PA,"Cupcakes, Caribbean, Restaurants, Trinidadian, Food, Bakeries, Cafes",4.5,66
dJfkfBbJz7wi0RgW-ph_Eg,Sake House,Tampa,FL,"Restaurants, Sushi Bars, Japanese",3.0,140
VbItL6RDULtnw4YvB6EhVg,Jon's Bar & Grille,Philadelphia,PA,"Tex-Mex, Restaurants, American (Traditional), Nightlife, Bars",3.0,178
W57cR9a7XP6RX56MSWHJJA,Las Margaritas,New Orleans,LA,"Mexican, Restaurants",3.5,58
x7_p5O3ChQa7shdHCcLHZQ,Olivier's Creole Restaurant,New Orleans,LA,"Event Planning & Services, Party & Event Planning, Restaurants, Seafood, Soul Food, Southern, Ethnic Food, Specialty Food, Venues & Event Spaces, Cajun/Creole, Food",3.5,172
JF7iyI3wA_AKi_iXOKi0Qw,Parlor Suburban Square,Ardmore,PA,"Italian, Pizza, Gluten-Free, Restaurants, Bars, Wine Bars, Nightlife",3.5,61
xa6JYHDgVza7CuenKBJBHw,Taqueria El Sitio,Hermitage,TN,"Latin American, Mexican, Restaurants",4.5,8
1dSKEitDDgIkaApe6UNMSA,The Pepper Pott,Nashville,TN,"Caribbean, Food, Restaurants, Food Trucks",5.0,18
rZw9O5lJ36m_mXeRKE4G9A,La Sponda,Downingtown,PA,"Italian, Restaurants, Salad, Bars, Venues & Event Spaces, Wine Bars, Nightlife, Event Planning & Services",4.5,29
dCITjr2RMTmrX33_eFaMKA,BurgerWorks,Sherwood Park,AB,"Burgers, Restaurants",3.5,17
Pr_Mlt9FqdcW7WCFGJmozA,The Cider Factory,Virginia City,NV,"Italian, Seafood, American (Traditional), Steakhouses, Restaurants, Comfort Food",4.5,104
-7GDqSUaXrpC8Ql7nDBxWA,B2 Bluefin,Bala Cynwyd,PA,"Nightlife, Bars, Cocktail Bars, Japanese, Restaurants, Sushi Bars, Asian Fusion",4.0,92
e8pMCk4bE0U4qk7z59Lxkg,Federal Donuts,Philadelphia,PA,"Sandwiches, Chicken Wings, Restaurants, Donuts, Food",4.5,11
tuyCmcmm5Q-bc-9zV76xKA,Pho Friendly,Trenton,NJ,"Thai, Vietnamese, Chinese, Restaurants",4.5,93
V-96iACFgPmVjjKACGxd7Q,Fusion Pizza & Grill,Philadelphia,PA,"Ethnic Food, Specialty Food, Restaurants, Food, Pizza",2.5,6
p184f-Zvf4ToPwLba0VS4A,Misto Diner,Bensalem,PA,"Chinese, Restaurants, Japanese",3.5,26
zVlhs7BVaouutt-rles-YA,Williams Sub Shop,Saint Petersburg,FL,"Restaurants, Sandwiches",4.5,99
1E9o1SNo7UTf1XHTFPv1_Q,Franklin Juice Co,Franklin,TN,"Restaurants, Acai Bowls, Vegan, Organic Stores, Vegetarian, Food, Juice Bars & Smoothies",4.5,66
0CEUpFtaKhxbmrbSdP9MUQ,Acadia,Philadelphia,PA,"Restaurants, Cajun/Creole, Southern, Nightlife, Cocktail Bars, Breakfast & Brunch, Seafood, Bars",4.0,79
f82dhKNiUXsDVPMLqKYiIQ,Sher-e-Punjab,Tucson,AZ,"Restaurants, Salad, Pakistani, Indian, Cocktail Bars, Food, Food Delivery Services, Soup, Halal, Bars, Nightlife",4.0,446
FF45pKN_lzqG8Bqk-_HQvw,Go! Gyro! Go!,Saint Louis,MO,"Street Vendors, Food, Food Trucks, Greek, Food Stands, Restaurants, Mediterranean",4.5,49
TEP-73fGvgSUmtQFaOTA_g,The Steak Out,Marana,AZ,"Steakhouses, Burgers, Restaurants",2.5,30
bDAlJYMIzwOewIThe2IZjQ,Domino's Pizza,Indianapolis,IN,"Chicken Wings, Sandwiches, Restaurants, Pizza",4.0,12
b7YJrFZWZdI2C5-9nZvVdw,Saltwater Grill,New Orleans,LA,"Specialty Food, Restaurants, Food, Seafood, Seafood Markets",2.5,34
SRexiuEsx1d9-dZVUsssQA,Brandon Burgers,Brandon,FL,"Salad, Hot Dogs, Burgers, Restaurants, American (Traditional), Fast Food",3.5,24
xJyp6RLqNRv3tSu6njPKxQ,World of Beer,Exton,PA,"Nightlife, Pubs, American (Traditional), Restaurants, Bars",3.0,208
1P_mGUY1PyPq7_ZabrzpBw,Carmine's Steakhouse,Saint Louis,MO,"Italian, Restaurants, Steakhouses",4.0,261
XwoXi0M66RU6Gouq-DSDHw,G Peppers Grill & Tavern,Odessa,FL,"Restaurants, Mexican, American (Traditional)",4.0,82
OfW-VK04qr7b7bPm5QbyLg,Taqueria Feliz,Horsham,PA,"Mexican, Pizza, Restaurants",3.0,77
0DbIUh_Xuj6H5B_SF0RLCQ,Iguana's Mexican Restaurant,Brownsburg,IN,"Restaurants, Mexican",4.0,74
bSJczuohHVko33UT82hnfA,Blaze Pizza,New Orleans,LA,"Pizza, Fast Food, Gluten-Free, Restaurants, Salad",4.0,302
PCM-vL-vRLJ4HB2OE8Nnbg,Baxter's Saloon & Grill,Malvern,PA,"Bars, Pubs, Nightlife, Restaurants, American (Traditional)",2.5,31
rmHgqdVkLsGN2byesWRo0w,Brewster's Pub,Maple Shade,NJ,"American (Traditional), Active Life, Nightlife, Bowling, Restaurants",3.5,12
JfGfqCnk0-Tnf6PlahPUJQ,Burger Village,Edmonton,AB,"Restaurants, Burgers",4.0,10
aNXw3PkXVt8ANwLyCfcmpg,McDonald's,Lansdale,PA,"Restaurants, Fast Food, Burgers, Food, Coffee & Tea",1.5,17
GVqXNt0HKJLpciN9ePxnWw,Crown Fried Chicken,Philadelphia,PA,"Restaurants, Fast Food",2.5,16
KUx_q3nzqUINYgUTrZc9OA,Pita Pit,Tucson,AZ,"Sandwiches, Restaurants",3.0,9
VeqkfRUzZAKlQer3npXPdQ,New India's Kitchen,Ballwin,MO,"Restaurants, Indian, Buffets, Diners, Pakistani",4.0,130
JwBTq6IOFH97b9Hr6RT7pw,Reinette Café & Patisserie,Edmonton,AB,"Food, Coffee & Tea, Bakeries, Restaurants, Cafes",3.0,5
dChRGpit9fM_kZK5pafNyA,The Love,Philadelphia,PA,"Restaurants, American (New), Breakfast & Brunch, Burgers",4.0,618
uyc-S7lauYjzouYQ2TM76A,Papa John's Pizza,Saint Louis,MO,"Pizza, Restaurants",2.0,9
2_gRg3_oWK3GoiB-OpcDHA,CedarBrook Deli,Cedarbrook,NJ,"Food, Convenience Stores, Restaurants, Food Delivery Services, Local Flavor, Delis",3.5,5
YE2TePip0TxcdquF5hGauQ,JoJo's Hot Dogs and BBQ,Goodlettsville,TN,"Barbeque, Restaurants, Hot Dogs",4.5,14
KdkMXzeoqpfNsZd-_axoTQ,emPIEnada,Reno,NV,"Event Planning & Services, Restaurants, Empanadas, Caterers, Food, Desserts, Comfort Food, American (Traditional), Food Trucks",4.5,41
iBRXLFWD7PeSYDbKsd_JTw,Mai Thai Restaurant,Brandon,FL,"Food, Ethnic Food, Specialty Food, Restaurants, Thai",4.5,27
od6skmfXz9twktEAuJHEmw,Ryan Christopher,Narberth,PA,"American (New), Restaurants",4.0,120
sUQ-OfJYSNfz-cimEjoaXQ,Soho Oasis Cafe,Tampa,FL,"Restaurants, Middle Eastern",3.5,7
j9Kaj_6tSeXmVMYCgZithg,Noble Crust,Wesley Chapel,FL,"Restaurants, Italian, Nightlife, Southern, Bars, Breakfast & Brunch, Pizza",4.5,496
EIlFs8kybcG-l60GJjNUIA,Domino's Pizza,Oldsmar,FL,"Pizza, Chicken Wings, Restaurants, Sandwiches",2.5,20
z9wCTHYI2VZy9YIblwSsgg,The Silo Eatery Coffee Bakery,Tampa,FL,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",4.0,5
4xhGQGdGqU60BIznBjqnuA,California Tacos and Taproom,Isla Vista,CA,"Mexican, Beer Bar, Bars, Sports Bars, Nightlife, Restaurants, Tacos",4.0,49
juVJO2kMrHwCYXwQQmv1Tg,Sidekicks Pizza,Indianapolis,IN,"Sandwiches, Restaurants, Pizza, Salad",4.0,45
Rz0KfP7YAZV_yQE8uIB0fg,El Sabor Boricua,Tampa,FL,"Puerto Rican, Caribbean, Latin American, Restaurants",5.0,6
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,Philadelphia,PA,"Korean, Restaurants",4.5,351
Wt1W6qwCvna1KzIuJRJbwA,Tokyo Mandarin,Glassboro,NJ,"Japanese, Restaurants, Sushi Bars, Chinese",4.0,88
fNssGWMjae-SUzyyGblspQ,Apron,Haddonfield,NJ,"Caterers, Event Planning & Services, Sandwiches, Restaurants",4.5,24
kwQzVF5GP8DzdyBavvhIaQ,Fisherman's Cove Seafood,Kenner,LA,"Seafood Markets, Seafood, Specialty Food, Food, Restaurants",4.0,91
wFXwmrlV8TiBS4Ac2-W_9g,MOSI Food Truck Rally,Tampa,FL,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands",3.5,10
ifjluUv4VASwmFqEp8cWlQ,Marty's Pizza,Santa Barbara,CA,"Pizza, Restaurants",4.0,64
bPPy7yNFfb-6N_bHkn1qAw,Taste of the Caribbean,Indianapolis,IN,"Restaurants, Caribbean, Food Trucks, Food",3.0,17
bTC3m_GPWBp92Y5TTReyTA,Taco Truck Stl,Saint Louis,MO,"Food, Mexican, Restaurants, Food Trucks",2.5,10
wQjhFPMKwN_z85aPEn6V4Q,Thai Tanic,Montgomeryville,PA,"Restaurants, Thai, Food, Specialty Food, Ethnic Food",3.0,8
516L9-ZWyqVgzqjP5uW7Jg,The Corner Cafe and Deli,Tampa,FL,"Sandwiches, Cafes, Burgers, Food, Restaurants",4.0,6
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,Philadelphia,PA,"Event Planning & Services, Whiskey Bars, American (New), American (Traditional), Venues & Event Spaces, Bars, Nightlife, Restaurants",4.0,604
NpglDX_FUp3ybEzbBp4qhw,Summer Palace Chinese Restaurant,Chesterfield,MO,"Restaurants, Chinese",2.5,9
iEC0VzHM2hQ13wM7c0QwgQ,Metro Diner,Langhorne,PA,"American (Traditional), Restaurants, Diners, Breakfast & Brunch",3.5,56
OlD8UoHqrKnLoZUFxuas_w,The Hip Hop Sandwich Shop,Spring Hill,FL,"Sandwiches, Restaurants",2.5,5
D7z_V6E8cxXghSRcHAmUPg,La Bella China Restaurant,Tucson,AZ,"Restaurants, Chinese",4.0,92
gb7JjRJtzWDsIWpJihZhBQ,McDonald's,Pennsville,NJ,"Food, Burgers, Restaurants, Coffee & Tea, Fast Food",2.0,20
JPm93BlP-UHYPqFgK66JUw,Local Links,Haddon Heights,NJ,"Coffee & Tea, Restaurants, American (New), Food, Cafes, Breakfast & Brunch",4.5,70
VeFfrEZ4iWaecrQg6Eq4cg,Cal Taco,Goleta,CA,"Burgers, Cafes, Restaurants, Mexican, American (Traditional)",4.0,189
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,Philadelphia,PA,"Restaurants, French",3.5,163
Dl1alpHSJE4_iB0MGKRLXw,Johnny Rockets,Hazelwood,MO,"Food, Fast Food, Sandwiches, Restaurants, American (Traditional), Burgers, Diners",2.0,6
hsyIDX4x4ndYEvPoJF6_1g,Merendero La Catrachitas,St. Louis,MO,"Latin American, Honduran, Restaurants",4.5,22
dk9zGFRJD2RXkHqAmFHOOA,Garage Pizza,New Orleans,LA,"American (New), Sandwiches, Restaurants, Pizza",4.0,6
rR30b1XWbxZFFgLyGbfNAw,BODHI : Craft Bar + Thai Bistro,Indianapolis,IN,"Gastropubs, Nightlife, Restaurants, Thai, Bars, Cocktail Bars",4.5,132
4QFqi8w3rlZTcc5LXKyPJw,Chris' Pizza Village Pleasant View,View,TN,"Chicken Wings, Italian, Salad, Pizza, Restaurants",4.0,31
RsTF2skxLcp6qo9FdnA5PA,Pizza Hut,Langhorne,PA,"Italian, Restaurants, Fast Food, Chicken Wings, Pizza",1.5,18
uYBx50Yl_Jc-UYwFzudBsQ,Chew Doin Fried Chicken & Ramen,Edwardsville,IL,"Restaurants, Chicken Shop, Ramen, Japanese",3.0,10
bchZXVE4feVx4Q5rhIRCGg,NY Bagel Cafe & Deli,Philadelphia,PA,"Restaurants, Food, Bagels, Breakfast & Brunch, Coffee & Tea, Sandwiches, Delis, American (New)",3.0,52
GpFRwCHN0RI8yFbcfXjfUg,V Sandwiches,Edmonton,AB,"Vietnamese, Sandwiches, Restaurants",3.5,9
QZLOM3T6xl7y1Q6zqoqHWg,Freddy's Frozen Custard & Steakburgers,Brookhaven,PA,"Food, American (Traditional), Fast Food, Ice Cream & Frozen Yogurt, Burgers, Restaurants",3.5,26
9qxMhGWjGsuPUoQB3Y74Wg,McDonald's,St. Louis,MO,"Food, Restaurants, Coffee & Tea, Burgers, Fast Food",1.5,62
pJB63RaQpkTIKBhfTsLQQg,Biryani Hut,Noblesville,IN,"Restaurants, Indian",4.0,83
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,Philadelphia,PA,"Indian, Restaurants",4.0,217
